time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,0313,0314,033d,0345,0348,0409,040a,altitude,latitude,longitude,satelites,bearing,angular_speed,slope,initial_coolant_temp,speed_diff,gear_change
0,2024-10-02 08:16:48,2024-10-02 08:16:45,217,87,True,9.786,2.0,55,5.346,0.0,26,12,1080.75,13.4,2.0,6829.301,26.938,24280.062,0.39,,,,,,,,0,0.0,0.0,0,244.96,-0.0014851478516196,0.0,26,0.0,0.0
500,2024-10-02 08:16:48,2024-10-02 08:16:45,217,87,True,9.857,4.271,62,6.75,15.472,27,12,1109.5,13.5,1.0,6829.301,44.75,24547.094,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,0.0,1.0
1000,2024-10-02 08:16:48,2024-10-02 08:16:45,217,87,True,10.0,6.314,46,7.764,0.839,27,12,1606.5,13.8,1.0,6829.305,22.062,24906.469,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,0.0,1.0
1500,2024-10-02 08:16:48,2024-10-02 08:16:45,217,87,True,9.929,8.153,35,4.736,2.496,27,13,1612.0,13.6,1.0,6829.305,9.938,25053.344,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,1.0,1.0
2000,2024-10-02 08:33:12,2024-10-02 08:16:47,217,87,False,9.857,8.514,41,5.09,0.0,27,13,1047.0,13.5,2.0,6829.309,17.875,25232.016,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,1.0,2.0
2500,2024-10-02 08:33:12,2024-10-02 08:16:47,217,87,False,9.857,9.271,43,5.596,0.0,27,12,1033.0,13.5,2.0,6829.309,21.375,25445.219,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,2.0,2.0
3000,2024-10-02 08:33:12,2024-10-02 08:16:47,217,87,False,9.929,10.579,41,6.234,0.0,27,12,1165.5,13.5,1.0,6829.309,11.438,25686.109,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,2.0,3.0
3500,2024-10-02 08:33:12,2024-10-02 08:16:47,217,87,False,9.929,11.992,42,5.895,0.0,27,12,1177.75,13.5,1.0,6829.312,11.125,25927.531,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,2.0,3.0
4001,2024-10-02 08:16:52,2024-10-02 08:16:49,217,87,True,9.857,13.42,42,5.895,0.0,27,12,1149.5,13.5,1.0,6829.312,11.438,26243.438,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,2.0,3.0
4501,2024-10-02 08:16:52,2024-10-02 08:16:49,217,87,True,9.857,14.549,42,5.818,0.0,27,12,1137.75,13.5,1.0,6829.316,13.5,26414.875,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,2.0,3.0
5001,2024-10-02 08:16:52,2024-10-02 08:16:49,217,87,True,9.857,14.349,44,5.586,0.0,27,12,1135.75,13.5,2.0,6829.316,14.375,26635.641,0.39,,,,,,,,0,0.0,0.0,0,244.96,0.0,0.0,26,2.0,4.0
